Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_km,Parking,Floor,Price_lakhs
2170,4,4,2,3.2,2,0,128.73
1560,3,3,13,18.9,2,4,58.78
2085,4,4,5,15.9,0,1,111.21
1628,2,2,17,9.8,1,8,70.56
1102,2,2,24,17.4,2,6,36.36
997,2,2,0,5.7,1,3,57.84
1470,3,3,5,14.6,1,3,61.95
992,1,1,5,17.3,0,1,15.0
806,1,1,20,7.8,1,4,28.36
1638,3,2,15,15.4,2,3,77.01
2481,4,4,28,6.6,1,0,107.94
2084,3,3,4,6.7,2,7,107.49
1463,3,2,16,3.0,2,2,74.48
1163,3,3,9,9.4,2,5,59.91
1620,3,3,27,14.9,1,3,54.15
695,1,1,20,18.9,0,8,15.0
2523,5,4,17,12.5,1,6,125.58
2357,4,4,6,17.4,0,8,109.79
2878,6,5,2,16.6,2,9,165.34
2278,5,4,12,4.3,1,2,130.36
1140,2,2,14,10.2,1,0,40.78
1659,3,3,19,3.2,1,4,85.78
1783,4,3,18,14.0,2,2,83.36
2322,5,5,2,19.0,2,5,126.45
2419,5,5,3,3.6,1,7,150.2
2197,5,5,4,14.9,2,10,137.41
1395,3,2,0,13.0,1,3,72.87
1651,4,4,3,12.1,1,4,88.84
2243,5,4,11,8.4,2,4,122.17
1963,4,4,27,7.7,1,3,88.44
2581,5,5,26,1.9,3,3,146.39
1954,4,4,23,5.1,0,3,91.74
2263,4,3,9,1.3,0,3,120.74
2129,4,4,22,12.0,2,3,106.15
2638,5,5,24,3.0,0,4,138.46
2096,4,3,20,17.6,3,1,96.31
2837,6,5,28,10.9,3,1,145.9
2008,4,3,30,14.3,0,8,74.45
2000,5,5,25,8.8,1,1,97.89
1906,4,3,19,11.7,1,5,94.96
1572,4,4,23,18.9,1,1,50.86
2368,3,2,24,2.6,0,4,110.28
1882,4,4,12,5.8,1,3,102.75
1309,3,3,22,15.8,1,6,39.78
2079,5,5,13,2.9,1,6,127.22
2034,3,3,22,2.4,3,5,102.81
1248,3,3,4,7.9,2,9,73.4
917,2,1,3,2.8,2,4,57.52
1857,2,2,13,12.1,1,0,61.43
1283,3,2,9,5.3,2,2,66.44
1263,3,3,16,18.0,1,8,67.44
2598,4,3,9,15.9,2,0,122.76
2231,5,5,25,14.3,3,4,104.96
2095,5,5,6,12.7,1,1,120.55
1736,4,3,15,17.4,1,3,67.67
2453,5,4,0,5.2,2,10,151.76
2120,3,3,16,17.6,2,0,77.81
1163,3,3,20,16.0,2,2,44.77
1891,4,4,28,15.2,1,9,91.91
2236,5,4,8,11.7,1,6,115.38
1298,3,3,5,5.7,0,9,66.8
2760,6,5,18,9.0,2,2,153.25
601,2,1,12,16.1,0,3,18.22
1241,2,2,2,1.6,2,1,62.07
2867,6,5,6,15.9,0,2,147.53
2189,4,4,21,5.6,1,8,117.26
1454,2,1,8,3.7,1,2,66.16
2359,5,5,21,3.2,2,10,131.69
2261,4,4,4,1.5,0,4,137.05
1753,3,3,9,10.9,1,1,83.11
1676,3,3,22,5.1,1,3,80.8
2307,4,4,16,19.8,1,6,97.78
2295,4,4,11,11.9,0,6,109.01
2333,5,5,22,3.6,2,2,113.16
2039,4,4,15,14.1,1,4,95.04
2894,6,5,2,18.1,0,0,152.11
1435,2,2,29,15.2,2,9,45.03
802,2,1,24,2.5,3,9,35.81
722,1,1,30,18.0,1,9,15.0
1000,2,1,21,16.1,1,10,34.77
1366,2,1,8,4.0,2,0,63.55
893,2,2,28,2.0,3,4,41.49
2927,6,5,14,11.6,2,9,163.5
797,2,2,4,4.0,1,8,53.33
2530,5,5,22,16.9,1,0,117.4
2791,6,5,12,7.8,2,0,166.92
1208,2,2,13,18.3,1,3,27.86
1747,4,4,19,11.7,1,3,89.84
786,2,1,14,4.5,2,1,37.25
2394,5,5,15,3.7,1,8,148.61
1259,3,2,22,12.0,1,8,57.5
2555,5,5,12,15.5,1,1,124.19
1969,4,3,16,15.8,0,8,93.27
2586,5,5,22,6.2,1,5,133.61
2134,5,5,7,4.9,2,7,130.33
746,2,1,20,1.3,1,9,46.29
2334,5,5,1,13.9,1,3,122.41
2443,4,4,4,2.5,3,1,147.04
1088,2,1,5,9.0,1,1,47.84
2559,6,5,11,12.4,1,8,128.38
2263,5,5,17,18.8,3,0,103.09
2985,5,4,29,6.9,2,6,150.48
1240,3,2,21,5.7,1,10,62.51
2402,5,4,21,13.4,2,2,98.81
2569,5,5,0,12.8,0,2,144.23
2798,6,5,29,7.3,2,1,141.98
2038,5,5,16,18.6,1,9,104.97
2234,5,4,29,17.1,2,5,95.34
862,2,1,10,5.3,1,9,51.83
2387,5,4,9,5.5,1,1,141.67
2791,5,4,18,10.7,1,9,139.03
2993,6,5,13,15.7,1,3,159.34
1223,2,1,25,1.8,2,9,63.53
1616,3,2,9,14.2,1,8,71.1
1480,3,3,14,13.3,1,8,83.82
2649,5,4,27,5.4,1,5,135.35
1927,3,3,18,13.9,1,3,84.62
2901,6,5,3,18.9,2,6,153.38
1052,2,1,1,1.9,2,0,56.91
1783,4,3,8,7.1,1,3,97.79
2656,6,5,9,9.3,2,4,160.66
2282,5,5,27,18.1,2,7,103.98
2855,6,5,10,19.3,1,1,137.56
1754,4,3,13,9.4,1,4,97.97
1003,2,2,6,15.3,2,5,42.58
2799,6,5,22,11.1,1,4,144.57
2701,6,5,14,11.2,2,8,156.41
2296,6,5,21,6.3,1,9,131.69
1227,3,3,30,5.1,1,0,50.92
1186,3,3,18,6.5,1,2,61.09
2248,5,4,21,11.6,1,1,103.25
2043,4,4,14,1.6,3,2,124.63
2045,4,4,29,18.2,1,9,82.04
703,1,1,27,4.0,1,8,20.08
853,1,1,23,5.2,2,8,26.12
2096,4,4,7,10.8,1,9,113.3
698,2,2,10,14.5,1,1,15.97
2800,5,5,28,2.8,2,2,142.89
2484,5,4,8,7.0,2,3,142.65
2519,5,5,14,19.4,1,8,112.8
1477,3,2,0,6.0,1,2,70.52
937,2,1,29,6.9,1,6,26.32
1556,3,2,0,16.9,1,2,72.34
2304,5,4,18,2.0,1,6,132.71
760,2,2,2,9.8,1,6,38.51
2203,5,5,9,8.2,1,8,136.75
997,2,2,7,7.0,1,1,44.01
1900,3,3,14,6.4,0,5,95.97
1415,3,2,9,2.7,1,8,82.35
2127,4,3,0,7.0,2,1,114.2
2519,5,5,28,1.8,2,1,129.32
2015,4,4,17,15.8,1,4,95.58
1758,3,2,1,8.6,0,9,97.88
1818,4,4,18,9.4,1,9,102.92
1000,3,3,12,18.0,1,9,46.87
1239,2,1,21,13.5,1,7,32.44
1059,2,2,0,1.2,1,10,88.54
1554,3,3,1,18.9,1,8,78.13
1069,3,3,28,5.5,2,1,50.24
1645,4,3,15,3.0,1,4,90.06
2293,5,5,14,15.6,1,6,122.96
2685,5,5,12,10.5,2,5,138.42
2877,6,5,15,9.2,1,5,158.32
1162,3,3,16,5.7,0,6,48.16
2399,4,4,20,11.4,1,2,114.32
2674,5,4,28,6.2,1,2,122.05
825,3,3,28,18.1,2,9,28.54
1397,2,1,6,5.1,1,8,83.16
2931,5,5,23,17.8,1,7,140.63
1559,4,4,25,11.6,1,4,77.9
2104,5,5,16,16.7,0,5,107.06
1052,2,2,6,14.5,2,10,50.64
1415,3,3,12,14.2,2,9,75.66
1258,2,2,4,7.2,1,0,50.26
1146,2,2,25,5.4,1,9,48.15
1815,4,4,16,5.0,1,0,102.73
616,1,1,2,17.3,2,3,15.0
1843,4,3,6,16.6,0,1,70.23
2805,6,5,25,9.4,0,10,158.21
1669,4,4,16,3.5,1,6,100.63
2746,5,5,6,8.3,1,1,152.61
2368,5,5,20,12.8,1,9,116.78
1660,2,2,0,9.6,0,1,78.2
2927,6,5,16,15.8,1,4,146.56
901,2,1,29,20.0,1,3,15.0
780,1,1,16,4.6,1,7,33.28
1206,2,2,10,9.7,2,3,47.32
1299,3,2,24,9.2,0,5,48.87
1592,3,3,26,6.8,1,4,76.78
1739,4,3,28,4.8,1,10,86.17
790,1,1,2,2.2,1,1,53.79
2900,6,5,14,17.9,1,10,140.83
1580,3,3,28,9.0,2,7,70.54
2606,5,5,20,10.4,1,1,123.43
1784,3,2,10,18.4,2,8,78.7
727,1,1,25,15.7,1,8,17.49
2665,5,4,27,3.5,1,2,127.07
2416,5,5,15,11.7,1,3,120.56
2358,4,4,24,9.4,1,7,118.14
1169,3,3,21,16.1,2,8,50.31
1946,4,4,27,14.8,2,2,83.22
2495,4,3,8,14.1,2,4,116.73
1225,2,2,23,7.5,3,10,61.05
2286,5,5,23,16.3,2,7,118.71
754,1,1,0,2.0,1,2,34.17
2009,4,4,28,4.0,1,6,98.02
1384,3,3,24,7.4,1,10,58.59
845,1,1,21,2.5,0,7,36.6
2100,5,4,15,5.5,2,9,132.9
2305,4,4,8,16.8,1,10,116.02
1137,2,2,18,19.0,0,2,19.63
2490,5,5,11,6.8,0,1,125.89
2441,5,5,18,6.0,1,9,135.96
1520,2,1,21,6.3,1,6,62.54
1124,2,2,8,6.3,1,8,67.8
2129,5,5,6,1.7,1,0,124.94
635,2,2,13,18.6,1,2,15.0
1284,3,3,28,5.1,1,4,56.2
619,2,2,18,9.0,1,2,15.89
2968,6,5,18,1.2,0,0,157.38
999,2,1,1,17.3,1,6,42.42
1571,3,2,8,14.9,1,6,77.13
2506,4,4,12,19.0,0,9,113.96
1766,3,3,14,15.9,1,7,71.1
1715,4,4,2,7.0,0,4,105.87
1433,3,3,10,5.7,1,9,78.85
2423,5,4,20,14.3,1,4,115.45
2582,5,5,13,7.9,1,4,139.09
1453,2,1,29,11.8,2,0,41.53
650,1,1,24,1.1,1,9,26.78
1174,3,3,7,2.2,3,4,83.95
1748,4,4,17,11.2,1,5,65.77
2797,6,5,18,11.8,1,0,145.58
2961,6,5,15,15.3,1,10,149.82
2952,6,5,1,3.5,1,6,181.44
2315,5,5,7,10.8,1,0,125.01
1281,3,3,21,4.7,1,10,78.94
1437,4,4,5,2.8,0,1,88.85
1677,4,3,11,8.8,0,1,76.69
2911,6,5,14,4.1,1,4,153.82
2195,4,3,24,5.2,1,9,110.48
604,1,1,7,7.0,1,6,17.03
1726,4,3,3,5.9,0,0,89.65
1819,4,3,14,2.7,2,9,108.65
1373,4,4,27,2.7,2,0,68.0
1476,3,3,19,4.7,2,0,72.92
1591,4,3,24,2.0,1,5,83.98
646,2,2,16,12.9,2,1,17.15
868,2,1,12,6.5,2,0,23.17
969,3,3,17,6.3,1,5,44.29
1235,3,2,1,7.3,1,1,71.38
1729,3,2,12,13.6,2,5,84.13
2293,5,4,12,17.5,1,9,104.6
2282,5,5,21,15.4,1,7,106.8
1256,4,4,14,14.8,1,1,63.75
719,1,1,19,10.2,0,10,17.05
1430,3,3,28,14.2,2,8,58.08
2410,4,4,26,11.5,1,7,120.45
1681,4,4,9,5.1,1,9,102.43
2574,5,4,28,5.0,1,0,120.4
1969,4,4,2,6.6,1,6,116.36
1340,3,3,18,18.3,1,9,65.87
716,1,1,2,11.4,1,5,32.7
2453,6,5,21,14.9,2,5,125.35
1750,3,3,13,7.6,0,5,82.3
2531,6,5,7,8.7,1,5,149.48
1612,3,2,26,3.4,1,9,83.9
2264,4,4,22,4.3,1,6,111.59
1681,3,3,29,16.7,2,2,62.41
1233,2,1,3,12.1,2,5,58.03
1112,2,2,26,7.4,2,2,41.69
1719,3,3,27,16.3,0,6,55.7
1741,4,4,19,5.7,0,6,89.4
1159,2,2,10,19.5,1,7,35.12
1087,3,3,25,7.6,1,1,37.75
1496,3,3,30,7.4,2,8,72.58
1812,4,4,10,6.9,2,4,101.86
1303,3,2,26,3.3,2,8,60.19
2070,5,5,29,3.1,2,9,132.66
1180,4,3,10,13.3,2,4,56.2
2894,6,5,1,17.6,1,6,161.78
753,2,2,29,16.0,1,10,15.0
2279,5,5,16,3.7,1,8,137.04
1596,2,2,8,11.4,1,3,68.42
1843,4,4,27,3.0,0,1,84.26
1692,4,3,30,1.9,1,8,90.07
1608,3,3,27,13.5,2,1,60.58
2741,5,4,1,11.2,0,2,137.77
2373,4,4,28,2.6,2,9,122.14
1557,2,2,23,1.7,2,1,61.87
1052,2,2,14,19.8,1,2,28.67
1827,4,4,15,1.6,0,5,96.29
2865,5,5,24,9.4,1,2,138.55
2988,6,5,3,10.6,2,9,178.51
1150,3,3,7,3.2,2,7,79.5
2235,5,5,8,4.2,2,10,139.04
1912,4,3,25,7.7,1,5,95.94
2357,4,4,25,15.5,0,6,97.57
956,2,1,4,10.6,0,0,27.92
2670,5,4,15,13.1,2,2,129.7
2385,4,3,12,19.7,1,2,104.1
2381,5,5,29,15.6,1,1,98.2
2231,5,4,6,9.3,1,6,131.61
1615,2,2,25,9.5,0,8,58.4
1948,5,5,19,12.8,1,3,93.55
1115,3,3,16,13.6,1,4,41.0
935,2,1,2,10.5,1,2,46.23
2382,4,4,4,13.3,0,10,125.72
2905,5,4,18,1.4,2,8,158.45
1096,1,1,11,9.2,2,3,41.44
1495,4,3,28,6.3,1,4,51.8
2807,6,5,26,3.5,2,0,152.93
1451,2,2,6,2.9,1,10,85.12
2287,4,3,27,12.5,1,1,79.33
2531,5,5,8,10.9,2,8,135.5
2168,4,4,30,5.8,2,1,99.53
1556,2,2,27,9.9,2,4,51.48
2236,4,4,5,10.4,0,7,124.18
1891,5,5,28,4.7,0,2,98.06
2040,4,4,25,13.4,2,5,95.86
1791,4,4,16,15.8,1,3,65.07
1666,3,2,15,16.0,1,10,70.32
884,2,1,22,12.4,2,6,24.59
611,1,1,30,10.7,2,9,15.0
2230,4,3,2,2.2,2,2,128.36
1353,2,1,20,6.5,1,5,49.38
2682,6,5,25,2.8,2,9,156.58
689,1,1,3,19.3,0,8,21.35
1375,3,2,9,3.6,0,10,84.86
2225,3,3,4,3.9,1,9,126.55
1017,2,1,20,17.9,0,0,26.91
714,2,2,21,18.9,1,2,15.0
1216,3,3,29,15.6,1,1,34.21
1425,3,3,9,1.1,1,7,86.28
2249,5,5,11,1.0,1,6,146.63
2116,5,5,9,8.2,1,1,123.47
1012,2,1,28,3.7,1,5,30.13
1328,2,2,12,1.3,1,2,75.12
1275,3,3,10,9.8,2,7,70.65
2492,5,4,21,18.9,2,9,113.12
2839,5,4,15,7.2,1,2,132.98
1722,3,3,7,13.6,2,9,89.18
2171,5,4,7,13.4,0,8,116.02
1577,4,4,26,5.8,1,0,83.99
1608,3,3,24,13.4,2,4,72.1
2743,4,4,7,5.0,1,2,142.24
2287,4,3,12,3.3,3,5,132.7
636,2,1,26,14.3,1,9,17.13
2148,3,3,1,3.2,2,1,121.28
2926,6,5,29,19.9,1,8,129.7
2864,5,5,29,4.5,1,5,142.24
1472,3,3,11,12.3,1,6,74.0
2421,5,5,9,8.8,2,4,139.32
1896,4,4,11,3.4,1,8,112.26
2709,5,5,10,1.5,2,0,139.44
1195,2,2,14,12.8,1,4,38.43
2503,5,4,15,16.3,0,10,126.4
1328,3,3,16,17.0,1,9,44.97
1965,4,4,25,10.2,1,10,105.23
996,1,1,1,15.8,2,5,46.04
1298,3,3,17,13.8,1,6,57.06
2824,6,5,11,14.8,1,3,148.27
2235,5,4,18,10.4,1,0,111.25
995,2,2,25,13.0,1,10,34.57
675,1,1,22,16.3,2,7,15.0
864,2,1,17,8.6,1,9,43.98
2419,5,5,29,16.3,1,3,113.75
1317,3,2,16,12.2,3,2,51.81
1450,3,3,29,4.2,2,6,62.98
1990,4,4,5,1.5,1,1,116.68
743,1,1,24,7.9,1,7,17.53
1484,3,3,14,11.4,1,5,70.85
995,2,2,2,17.0,1,6,50.12
2092,4,4,5,3.4,2,4,112.37
1767,4,4,2,16.2,1,8,105.7
1662,3,3,29,17.4,1,4,53.35
2756,5,5,28,3.9,1,10,151.34
1665,3,2,0,17.2,1,4,80.14
1809,4,3,29,19.8,1,2,65.32
1233,2,2,12,14.8,0,10,51.06
1756,4,4,27,15.9,1,0,68.34
1838,4,3,20,19.9,0,1,66.79
1332,2,1,25,12.5,1,7,40.81
834,2,1,13,6.8,1,0,21.38
1350,3,3,12,16.9,1,6,51.18
1553,4,4,26,12.7,0,4,64.21
2142,5,5,3,12.0,1,2,114.17
1797,3,3,6,5.8,1,10,100.16
2276,5,4,21,15.4,1,6,118.02
1791,3,2,9,2.6,0,8,103.75
2817,6,5,6,18.6,2,1,141.75
2016,5,4,20,7.2,2,7,116.85
1817,4,4,14,3.4,2,8,108.54
2140,3,3,14,9.4,1,10,109.16
2676,6,5,3,1.8,2,2,168.37
2045,5,4,22,14.0,1,1,89.62
2986,6,5,22,18.2,0,6,134.56
2119,4,3,5,16.9,1,4,108.15
1988,3,2,23,3.4,2,4,99.94
2456,5,5,19,3.4,1,9,127.99
1965,5,5,25,16.5,0,4,81.97
1099,3,2,4,18.6,2,3,42.77
2280,6,5,19,9.8,2,4,121.77
1110,2,1,11,10.5,1,3,49.17
816,1,1,0,7.0,1,5,42.84
1924,4,4,27,18.0,1,3,66.24
1755,2,2,7,13.3,2,1,73.33
2427,5,4,0,6.5,1,8,149.82
2410,6,5,4,6.7,1,1,140.08
1805,4,4,30,17.9,2,8,72.11
2814,6,5,21,1.3,1,9,165.67
690,2,2,5,7.1,1,5,50.11
1313,2,1,28,11.5,1,8,46.8
2481,6,5,20,3.8,1,8,152.35
638,1,1,2,2.7,1,2,32.49
772,2,2,14,16.5,1,0,16.74
1252,2,2,4,18.0,1,0,43.97
1353,2,1,27,16.6,1,2,32.5
1843,3,3,23,18.1,1,4,70.33
1681,3,3,13,11.5,2,2,73.38
2283,5,5,17,16.4,3,8,124.52
1055,2,1,15,8.3,1,8,37.86
1428,4,3,5,13.7,1,2,64.1
1494,3,3,24,19.8,1,2,59.04
1984,4,4,23,5.3,2,4,100.67
2558,6,5,13,8.4,1,1,142.69
2596,5,4,26,10.1,3,5,140.56
2995,6,5,23,3.6,1,6,149.29
789,1,1,7,2.5,3,8,59.01
1104,3,3,30,16.8,2,5,38.87
1814,3,2,28,19.6,2,2,67.57
2131,4,4,6,8.7,1,4,108.76
1423,3,3,7,2.7,0,3,89.19
1528,3,3,12,2.3,1,4,81.57
1533,3,2,5,17.9,1,7,75.36
1740,3,3,17,9.8,0,7,80.68
733,1,1,1,7.1,1,5,42.66
2705,6,5,7,10.1,1,0,146.27
1284,2,2,10,7.0,1,7,54.64
2820,6,5,0,10.3,1,7,146.13
2452,5,4,21,17.3,0,1,104.55
1414,2,2,28,12.3,3,3,48.8
1772,4,3,5,14.2,1,1,88.03
679,2,1,15,7.9,1,3,23.79
802,2,2,26,15.0,1,9,33.7
1852,4,3,19,13.7,2,6,89.17
2299,4,3,11,3.3,0,8,123.62
1850,4,4,10,11.9,1,7,100.82
2282,5,5,28,5.9,1,8,118.97
2155,4,3,30,16.3,1,7,87.48
2694,6,5,26,9.1,1,1,125.68
1856,4,3,28,19.9,2,6,71.42
2149,4,3,9,2.8,3,1,119.64
1766,3,3,2,15.8,0,10,81.93
1996,4,3,12,13.8,1,1,102.57
1070,2,2,26,15.6,1,3,19.05
1635,4,4,2,6.8,1,0,94.82
1953,4,4,30,10.3,1,4,81.42
1567,3,3,14,16.1,1,5,68.45
957,2,1,15,5.4,3,8,45.92
1267,2,1,28,5.3,2,9,60.51
972,2,1,12,11.5,0,7,49.51
1631,4,4,16,10.9,1,1,73.41
1745,3,3,2,6.4,1,0,100.13
1971,5,4,19,6.7,1,1,99.85
689,1,1,10,6.3,1,6,40.29
1139,2,1,26,15.7,1,3,38.64
1468,2,1,20,13.4,2,9,57.36
640,1,1,18,16.8,2,4,15.0
1339,2,1,21,19.5,1,6,42.09
2546,4,4,10,10.0,1,2,128.32
1824,4,3,29,2.3,1,9,99.24
1528,3,3,30,1.9,1,1,66.57
2636,5,4,27,6.6,1,6,126.51
1524,3,3,15,18.7,0,4,62.79
2181,4,3,20,10.9,1,0,97.71
989,3,2,2,6.2,1,0,47.44
2217,5,5,21,8.6,2,8,127.29
855,1,1,5,12.4,1,4,34.09
1308,2,1,30,13.4,1,0,27.81
2438,5,5,13,3.9,1,6,150.88
2544,5,5,23,19.6,1,8,113.07
609,1,1,17,11.4,0,10,15.19
1397,3,3,16,3.6,3,0,80.78
1476,3,2,3,18.0,2,9,73.78
1628,3,3,22,2.4,1,3,72.85
1615,4,4,14,18.2,1,2,70.68
2424,4,4,10,19.9,0,4,103.54
973,1,1,25,14.3,1,6,25.18
2793,6,5,2,15.6,2,7,157.99
823,1,1,2,7.4,0,1,33.6
1862,3,3,15,18.9,1,6,69.85
2824,5,5,4,11.1,1,0,146.35
2402,6,5,20,14.9,1,6,127.76
1452,3,3,28,18.6,2,7,47.28
662,2,2,9,19.5,0,1,15.0
1840,4,4,18,16.8,2,8,83.18
1288,2,2,24,6.8,1,0,39.46
2084,4,3,3,19.4,2,5,100.77
2233,4,4,28,12.9,1,0,92.78
2752,5,4,28,18.7,1,2,125.25
1110,3,2,30,13.8,2,10,40.02
984,1,1,18,6.8,1,5,35.88
1004,2,1,10,8.0,1,2,35.08
1117,2,2,1,11.5,1,7,62.29
1075,2,2,9,16.0,2,4,45.36
2600,4,4,28,7.0,1,1,127.23
2268,4,4,10,12.0,2,3,122.33
2493,5,4,24,7.6,1,8,130.79
2060,4,3,19,16.5,1,3,83.53
1313,3,2,15,9.9,2,9,69.76
682,2,2,18,2.5,1,9,40.67
1768,3,3,22,4.2,2,7,98.28
2501,5,5,23,2.2,3,4,147.1
2648,5,4,10,10.5,1,10,143.13
650,1,1,13,3.0,0,10,25.08
1284,1,1,1,3.2,0,9,78.48
1316,2,2,22,18.9,2,0,37.76
2069,4,4,27,17.6,2,6,86.39
1048,2,1,4,9.6,1,2,50.22
1480,3,3,30,19.7,1,9,49.8
1087,2,2,26,1.0,0,7,57.93
2423,5,4,4,12.7,2,2,118.11
2681,5,5,18,12.7,1,0,125.31
2742,6,5,20,9.7,1,4,152.23
2174,5,5,11,8.5,1,1,121.36
2801,5,4,17,9.7,2,10,161.03
849,2,1,3,8.9,1,3,33.72
1273,2,2,21,14.9,1,0,42.57
1037,1,1,16,3.6,1,8,54.64
2765,5,4,9,4.8,1,5,143.43
1370,2,2,19,4.4,2,7,67.48
867,2,1,5,6.0,3,10,58.38
2584,4,4,24,11.0,1,3,107.46
1677,3,3,13,3.1,0,8,90.87
835,2,1,10,17.5,0,1,21.76
988,2,1,10,6.6,1,8,48.81
1362,2,2,28,4.1,2,4,59.99
2448,6,5,17,13.8,0,5,125.36
1223,3,3,26,1.7,1,2,59.51
1852,4,4,22,12.8,1,3,78.91
1177,1,1,21,14.3,0,5,32.17
2722,6,5,17,5.1,1,6,143.92
1034,1,1,23,1.8,1,0,35.98
2750,6,5,22,7.9,1,6,154.81
1363,3,3,10,2.9,2,0,74.8
1929,5,5,20,3.2,1,4,106.94
2745,6,5,11,5.8,0,5,158.38
1958,4,4,4,6.6,3,1,116.19
1046,2,1,22,11.1,1,9,43.09
2617,5,5,8,13.9,2,8,143.85
1931,4,3,26,12.3,0,9,71.12
848,2,1,30,3.8,0,5,33.54
765,2,2,24,4.3,0,6,43.4
1958,4,3,8,17.7,1,9,103.66
1619,5,4,21,11.6,1,7,63.32
1141,3,3,9,17.5,2,10,61.1
1358,2,2,21,8.1,1,9,58.16
2728,5,5,18,12.7,1,0,123.3
2780,6,5,0,10.9,1,7,162.89
1396,2,1,6,7.1,0,3,62.08
737,2,2,3,9.9,1,9,47.77
2831,6,5,0,10.5,1,7,165.38
1953,2,1,14,4.8,2,5,86.76
